,epoch,lr,betas,betas,eps,weight_decay,amsgrad,maximize,foreach,capturable,differentiable,fused,decoupled_weight_decay,initial_lr,|params|,|grad|,time,obj,loss,acc,loss,acc,loss,acc
0,-1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.223679,0.0,0.0,0.0,0.0,0.0,785.443,0.0,796.65173,0.0
1,0.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,15.004169,0.051844995,8.890249,0.5706375,0.5706375,0.0,331.5882,0.0,330.7851,0.0
2,1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,21.763,0.038535513,9.15058,0.34025806,0.34025806,0.0,211.92213,0.0,211.51227,0.0
3,2.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,26.367899,0.065822765,8.685656,0.23755237,0.23755237,0.0,161.831,0.0,161.61916,0.0
4,3.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,30.010298,0.06360612,8.77016,0.19063859,0.19063859,0.0,134.51659,0.0,134.61238,0.0
5,4.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,33.61855,0.059111238,8.746925,0.1521149,0.1521149,0.0,109.063034,0.0,109.24132,0.0
6,5.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,36.370083,0.059000567,8.822767,0.131641,0.131641,0.0,96.1775,0.0,96.3019,0.0
7,6.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,38.89619,0.048331246,8.685444,0.11636553,0.11636553,0.0,86.847,0.0,87.04764,0.0
8,7.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,41.376274,0.06389873,8.643806,0.10381299,0.10381299,0.0,77.43468,0.0,77.59794,0.0
9,8.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,43.684708,0.06578487,8.6715975,0.09488517,0.09488517,0.0,70.73442,0.0,70.90796,0.0
10,9.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,45.553608,0.05288315,8.643988,0.08766686,0.08766686,0.0,66.78892,0.0,66.98166,0.0
11,10.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,47.28188,0.05751131,8.703021,0.08321992,0.08321992,0.0,63.750652,0.0,63.920517,0.0
12,11.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,48.984657,0.05769125,8.556668,0.07951233,0.07951233,0.0,60.633255,0.0,60.807285,0.0
13,12.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,50.703148,0.04756334,8.924363,0.07513627,0.07513627,0.0,57.116173,0.0,57.28073,0.0
14,13.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,52.39235,0.045783237,9.678301,0.07090057,0.07090057,0.0,53.837254,0.0,53.956745,0.0
15,14.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,53.86992,0.04796499,10.253857,0.067316905,0.067316905,0.0,51.671764,0.0,51.78218,0.0
16,15.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,55.20985,0.05006655,9.948387,0.0652122,0.0652122,0.0,50.20446,0.0,50.31961,0.0
17,16.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,56.566902,0.050926186,8.667086,0.06295053,0.06295053,0.0,48.382088,0.0,48.498093,0.0
18,17.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,57.766273,0.048190568,8.778151,0.061199736,0.061199736,0.0,47.19056,0.0,47.296276,0.0
19,18.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,58.971596,0.04485506,8.591127,0.059397485,0.059397485,0.0,45.80027,0.0,45.905735,0.0
20,19.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,60.090153,0.04292282,8.637324,0.057991225,0.057991225,0.0,44.749645,0.0,44.85183,0.0
21,20.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,61.22669,0.04551745,8.545696,0.056534886,0.056534886,0.0,43.71042,0.0,43.814262,0.0
22,21.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,62.30616,0.04722581,8.588937,0.05511948,0.05511948,0.0,42.59312,0.0,42.70456,0.0
23,22.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,63.308426,0.050458007,8.615525,0.053974178,0.053974178,0.0,41.786785,0.0,41.905815,0.0
24,23.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,64.21465,0.050196018,8.63306,0.053143647,0.053143647,0.0,41.28201,0.0,41.403988,0.0
25,24.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,65.09339,0.053945076,8.543906,0.052512396,0.052512396,0.0,40.73909,0.0,40.864056,0.0
