epoch,lr,betas,betas,eps,weight_decay,amsgrad,maximize,foreach,capturable,differentiable,fused,decoupled_weight_decay,initial_lr,|params|,|grad|,time,obj,loss,acc,loss,acc,loss,acc
-1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,3.2542255,0.0,0.0,0.0,0.0,0.0,782.6538,0.0,796.65173,0.0
0.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.0088577,0.023896396,2.0979862,0.7133626,0.7133626,0.0,492.62683,0.0,493.96173,0.0
1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,6.063195,0.027905585,2.2087288,0.5843623,0.5843623,0.0,432.03003,0.0,433.1453,0.0
2.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,6.925321,0.026246952,2.0859988,0.5255543,0.5255543,0.0,377.31775,0.0,378.3238,0.0
3.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,7.5626554,0.028867831,2.2360196,0.44695196,0.44695196,0.0,330.64044,0.0,331.1433,0.0
4.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,7.924458,0.039472267,2.1610646,0.40168667,0.40168667,0.0,300.26346,0.0,300.4679,0.0
5.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,8.37304,0.054473396,2.752219,0.36565092,0.36565092,0.0,270.30426,0.0,270.0086,0.0
6.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,8.680701,0.042565327,2.7043545,0.3271545,0.3271545,0.0,244.58382,0.0,244.24954,0.0
7.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,8.978151,0.060106818,2.7442343,0.3017685,0.3017685,0.0,225.66919,0.0,225.3236,0.0
8.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,9.189899,0.069984406,2.459455,0.27508342,0.27508342,0.0,208.49834,0.0,208.07976,0.0
9.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,9.46308,0.09087744,2.2014015,0.25656286,0.25656286,0.0,190.63062,0.0,189.9282,0.0
10.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,9.529095,0.10314479,3.4094934,0.19539985,0.19539985,0.0,142.34088,0.0,143.1135,0.0
11.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,9.733006,0.08858007,3.3650186,0.1558162,0.1558162,0.0,113.00923,0.0,114.00096,0.0
12.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,9.85786,0.09580535,3.3729773,0.12767395,0.12767395,0.0,95.77541,0.0,96.739426,0.0
13.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,10.014658,0.11546562,3.391461,0.11085,0.11085,0.0,83.92349,0.0,84.93161,0.0
14.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,10.196346,0.11811196,3.5860066,0.09764634,0.09764634,0.0,73.54668,0.0,74.57867,0.0
15.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,10.36197,0.108163916,3.8269877,0.08622662,0.08622662,0.0,65.03621,0.0,65.99488,0.0
16.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,10.489486,0.09158187,3.9475129,0.07795979,0.07795979,0.0,59.61451,0.0,60.50444,0.0
17.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,10.609942,0.08420192,3.593174,0.07235143,0.07235143,0.0,55.370476,0.0,56.231293,0.0
18.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,10.6996,0.08053408,3.6152382,0.0682382,0.0682382,0.0,52.550987,0.0,53.38225,0.0
19.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,10.801676,0.0787756,3.7487175,0.065106764,0.065106764,0.0,49.924877,0.0,50.73975,0.0
20.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,10.91921,0.07625764,3.6656623,0.061586637,0.061586637,0.0,47.21617,0.0,47.98819,0.0
21.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.0193815,0.07618354,3.676777,0.05854516,0.05854516,0.0,45.108345,0.0,45.85571,0.0
22.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.12627,0.07373775,3.6587195,0.056046586,0.056046586,0.0,43.14947,0.0,43.88244,0.0
23.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.212182,0.07339511,3.8658211,0.053813703,0.053813703,0.0,41.578278,0.0,42.30015,0.0
24.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.281561,0.07285672,3.7640126,0.05194384,0.05194384,0.0,40.232815,0.0,40.955654,0.0
25.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.34389,0.07060242,3.7312782,0.05055057,0.05055057,0.0,39.278202,0.0,39.97975,0.0
26.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.405792,0.07609284,3.7117085,0.04940124,0.04940124,0.0,38.48977,0.0,39.180965,0.0
27.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.463416,0.08249748,3.644675,0.04831006,0.04831006,0.0,37.700176,0.0,38.37322,0.0
28.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.526977,0.088177845,3.9143982,0.04725458,0.04725458,0.0,36.722675,0.0,37.391056,0.0
29.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.573308,0.09621608,4.02969,0.046171907,0.046171907,0.0,36.042885,0.0,36.701443,0.0
30.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.613985,0.106976636,4.0028105,0.04551333,0.04551333,0.0,35.559135,0.0,36.20815,0.0
31.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.655458,0.11886298,3.9314444,0.044965524,0.044965524,0.0,35.11357,0.0,35.753723,0.0
32.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.697693,0.13070408,4.034133,0.044415615,0.044415615,0.0,34.684063,0.0,35.317627,0.0
33.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.735055,0.14239922,4.242835,0.043895982,0.043895982,0.0,34.28567,0.0,34.91413,0.0
34.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.76959,0.14947768,4.097866,0.04344073,0.04344073,0.0,33.84339,0.0,34.470974,0.0
35.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.807123,0.15665331,4.0820303,0.042965446,0.042965446,0.0,33.36814,0.0,33.989716,0.0
36.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.840797,0.16906941,3.6566048,0.04250254,0.04250254,0.0,33.066803,0.0,33.68766,0.0
37.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.874627,0.17833216,3.5516963,0.042116024,0.042116024,0.0,32.814213,0.0,33.435463,0.0
38.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.910164,0.17318444,3.5916638,0.04174159,0.04174159,0.0,32.59257,0.0,33.21518,0.0
39.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.943415,0.15917094,3.7177167,0.04139587,0.04139587,0.0,32.340446,0.0,32.960052,0.0
40.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.975956,0.14217272,3.8690689,0.041083906,0.041083906,0.0,32.05428,0.0,32.664486,0.0
41.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.00615,0.12991786,4.3323784,0.040770754,0.040770754,0.0,31.72446,0.0,32.32466,0.0
42.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.034067,0.13116832,4.4597282,0.040494956,0.040494956,0.0,31.50006,0.0,32.0911,0.0
43.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.061269,0.14241405,4.32123,0.04027349,0.04027349,0.0,31.310802,0.0,31.89236,0.0
44.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.090059,0.15500362,3.7343717,0.040048387,0.040048387,0.0,31.094416,0.0,31.663794,0.0
45.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.118828,0.16287246,3.44321,0.039799627,0.039799627,0.0,30.922342,0.0,31.482346,0.0
46.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.144122,0.17141497,3.3591127,0.039601322,0.039601322,0.0,30.792707,0.0,31.345898,0.0
47.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.167767,0.16895697,3.3789058,0.03943798,0.03943798,0.0,30.657476,0.0,31.205751,0.0
48.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.190284,0.15520868,3.5050967,0.039294235,0.039294235,0.0,30.540138,0.0,31.083292,0.0
49.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.21192,0.13715301,4.060113,0.03916736,0.03916736,0.0,30.445002,0.0,30.982235,0.0
50.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.232878,0.12981354,3.37063,0.03905224,0.03905224,0.0,30.380102,0.0,30.910069,0.0
51.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.254281,0.13118319,3.2816072,0.038874075,0.038874075,0.0,30.254246,0.0,30.778965,0.0
52.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.275619,0.13612765,3.2780366,0.038698886,0.038698886,0.0,30.146858,0.0,30.66263,0.0
53.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.295775,0.13661143,3.4311068,0.03852562,0.03852562,0.0,30.041182,0.0,30.54883,0.0
54.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.315347,0.13356677,3.5558898,0.03837595,0.03837595,0.0,29.964264,0.0,30.46472,0.0
55.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.334755,0.13083681,4.9223275,0.03823777,0.03823777,0.0,29.903332,0.0,30.397614,0.0
56.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.353302,0.1305861,3.541212,0.03810596,0.03810596,0.0,29.84239,0.0,30.330305,0.0
57.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.370705,0.1351869,3.8618484,0.037990645,0.037990645,0.0,29.784746,0.0,30.266272,0.0
58.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.38709,0.14447002,3.5525591,0.037877508,0.037877508,0.0,29.722189,0.0,30.197727,0.0
59.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.402682,0.15127054,3.3153968,0.03776717,0.03776717,0.0,29.662144,0.0,30.132843,0.0
60.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.417647,0.15072566,3.6167016,0.037669662,0.037669662,0.0,29.623205,0.0,30.090149,0.0
61.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.432121,0.14488003,3.6428025,0.03757422,0.03757422,0.0,29.643774,0.0,30.105995,0.0
62.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.446168,0.13565627,3.6565206,0.037471604,0.037471604,0.0,29.732374,0.0,30.188187,0.0
63.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.459818,0.12919389,3.7589555,0.037358087,0.037358087,0.0,29.841846,0.0,30.291752,0.0
64.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.472987,0.11699881,3.4635756,0.037249036,0.037249036,0.0,29.825417,0.0,30.273848,0.0
65.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.485632,0.10828959,3.6070294,0.037144504,0.037144504,0.0,29.60511,0.0,30.053038,0.0
66.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.4979725,0.11002905,3.9233844,0.03704504,0.03704504,0.0,29.43687,0.0,29.882805,0.0
67.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.510438,0.10800377,4.3016825,0.03696206,0.03696206,0.0,29.340197,0.0,29.786171,0.0
68.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.522998,0.10428998,3.7510574,0.036877166,0.036877166,0.0,29.162336,0.0,29.60726,0.0
69.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.535101,0.096534975,4.0389957,0.03675536,0.03675536,0.0,29.016647,0.0,29.459768,0.0
70.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.546928,0.09570747,4.5711265,0.03665453,0.03665453,0.0,28.887478,0.0,29.328272,0.0
71.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.558792,0.09710562,4.000367,0.03656178,0.03656178,0.0,28.779297,0.0,29.217955,0.0
72.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.570754,0.10275101,4.3481245,0.036468912,0.036468912,0.0,28.655645,0.0,29.094435,0.0
73.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.581859,0.11082193,3.5175464,0.036372956,0.036372956,0.0,28.548342,0.0,28.988194,0.0
74.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.592547,0.11741953,3.7041512,0.036270827,0.036270827,0.0,28.453762,0.0,28.89269,0.0
75.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.603044,0.120510995,3.730661,0.03617925,0.03617925,0.0,28.360388,0.0,28.797506,0.0
76.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.613323,0.11966153,4.510273,0.036095787,0.036095787,0.0,28.273853,0.0,28.709366,0.0
77.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.623401,0.11741911,4.4302235,0.03601691,0.03601691,0.0,28.208845,0.0,28.64255,0.0
78.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.633481,0.11266623,4.4245977,0.035946686,0.035946686,0.0,28.209154,0.0,28.641676,0.0
79.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.643754,0.108946465,4.681287,0.03588578,0.03588578,0.0,28.119501,0.0,28.554588,0.0
80.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.653924,0.11196542,4.234251,0.035812613,0.035812613,0.0,27.935568,0.0,28.373793,0.0
81.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.663766,0.111904934,4.5558777,0.035724197,0.035724197,0.0,27.813332,0.0,28.25223,0.0
82.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.673306,0.10649384,4.5500326,0.035632066,0.035632066,0.0,27.73037,0.0,28.169603,0.0
83.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.682485,0.10209544,3.9412997,0.03554797,0.03554797,0.0,27.654821,0.0,28.09502,0.0
